 CPD entry       |                       | 0019B11C | 00000018 | A2F7D19B | ----- OEMUSB1
 CPD entry       |                       | 0019B134 | 00000018 | F80B448C | ----- OEMUSB1.met
 CPD entry       |                       | 0019B14C | 00000018 | 11FA288A | ----- SNPUSB2
 CPD entry       |                       | 0019B164 | 00000018 | 6CAAD486 | ----- SNPUSB2.met
 CPD partition   | Manifest              | 0019B17C | 000005FC | 93962932 | ---- SPHY.man
 CPD extension   |                       | 0019B17C | 00000210 | 59B38BE3 | ----- Signed Package Info
 CPD SPI entry   |                       | 0019B17C | 00000044 | DE3C7273 | ------ SNPMULTI
 CPD SPI entry   |                       | 0019B1C0 | 00000044 | 6487A97D | ------ OEMMP1
 CPD SPI entry   |                       | 0019B204 | 00000044 | 43A40839 | ------ OEMMP2
 CPD SPI entry   |                       | 0019B248 | 00000044 | EE4AE17F | ------ SNPMULT2
 CPD SPI entry   |                       | 0019B28C | 00000044 | 7640A77C | ------ SNPUSB
 CPD SPI entry   |                       | 0019B2D0 | 00000044 | 0D4F1633 | ------ OEMUSB1
 CPD SPI entry   |                       | 0019B314 | 00000044 | EABA3CBC | ------ SNPUSB2
 CPD extension   |                       | 0019B38C | 00000068 | 8A3940BF | ----- IFWI Partition Manifest
 CPD partition   | Metadata              | 0019B778 | 00000048 | 4F4C5497 | ---- SNPMULTI.met
 CPD extension   |                       | 0019B778 | 00000048 | 4F4C5497 | ----- Module Attributes
 CPD partition   | Metadata              | 0019B7C0 | 00000048 | 5F0D4451 | ---- OEMMP1.met
 CPD extension   |                       | 0019B7C0 | 00000048 | 5F0D4451 | ----- Module Attributes
 CPD partition   | Metadata              | 0019B808 | 00000048 | 5DC3B411 | ---- OEMMP2.met
 CPD extension   |                       | 0019B808 | 00000048 | 5DC3B411 | ----- Module Attributes
 CPD partition   | Metadata              | 0019B850 | 00000048 | F9C359D6 | ---- SNPMULT2.met
 CPD extension   |                       | 0019B850 | 00000048 | F9C359D6 | ----- Module Attributes
 CPD partition   | Metadata              | 0019B898 | 00000048 | 2F0D4800 | ---- SNPUSB.met
 CPD extension   |                       | 0019B898 | 00000048 | 2F0D4800 | ----- Module Attributes
 CPD partition   | Metadata              | 0019B8E0 | 00000048 | 44C3A01E | ---- OEMUSB1.met
 CPD extension   |                       | 0019B8E0 | 00000048 | 44C3A01E | ----- Module Attributes
 CPD partition   | Metadata              | 0019B928 | 00000048 | EA6313FF | ---- SNPUSB2.met
 CPD extension   |                       | 0019B928 | 00000048 | EA6313FF | ----- Module Attributes
 Padding         | Empty (0xFF)          | 0019B970 | 00000010 | 3FB3C61A | ---- Padding
 CPD partition   | Code                  | 0019B980 | 00008BA0 | 9D3262D6 | ---- SNPMULTI
 Padding         | Empty (0xFF)          | 001A4520 | 00000020 | FF6CAB0B | ---- Padding
 CPD partition   | Code                  | 001A4540 | 00000150 | 541E1829 | ---- OEMMP1
 Padding         | Empty (0xFF)          | 001A4690 | 00000030 | E61817DE | ---- Padding
 CPD partition   | Code                  | 001A46C0 | 00000105 | 5B473D7F | ---- OEMMP2
 Padding         | Empty (0xFF)          | 001A47C5 | 0000003B | 572E6CCF | ---- Padding
 CPD partition   | Code                  | 001A4800 | 000000A4 | 7E611F12 | ---- SNPMULT2
 Padding         | Empty (0xFF)          | 001A48A4 | 0000001C | 80E3231D | ---- Padding
 CPD partition   | Code                  | 001A48C0 | 0000228E | 365EE48D | ---- SNPUSB
 Padding         | Empty (0xFF)          | 001A6B4E | 00000032 | 63978B4E | ---- Padding
 CPD partition   | Code                  | 001A6B80 | 00000056 | BBB694BE | ---- OEMUSB1
 Padding         | Empty (0xFF)          | 001A6BD6 | 0000002A | 8487AB5E | ---- Padding
 CPD partition   | Code                  | 001A6C00 | 00000076 | 1F7682BC | ---- SNPUSB2
 Padding         | Empty (0xFF)          | 001A6C76 | 0000238A | 748640F6 | ---- Padding
 IFWI partition  | Data                  | 001A9000 | 0008B000 | 021C70CF | -- Data partition
 FPT store       |                       | 001A9000 | 000001C0 | FDC1D8F4 | --- FPT partition table
 FPT entry       | Valid                 | 001A9020 | 00000020 | E68D0DE6 | ---- PSVN
 FPT entry       | Valid                 | 001A9040 | 00000020 | 8CF01B78 | ---- UEP
 FPT entry       | Valid                 | 001A9060 | 00000020 | 3DCC441A | ---- RSTR
 FPT entry       | Valid                 | 001A9080 | 00000020 | 6D550618 | ---- IMDP
 FPT entry       | Invalid               | 001A90A0 | 00000020 | B25971FF | ---- HVMP
 FPT entry       | Valid                 | 001A90C0 | 00000020 | DBE354A2 | ---- IVBP
 FPT entry       | Valid                 | 001A90E0 | 00000020 | F45DA229 | ---- MFS
 FPT entry       | Valid                 | 001A9100 | 00000020 | 2482CD75 | ---- UTOK
 FPT entry       | Valid                 | 001A9120 | 00000020 | 92D2CB50 | ---- FLOG
 FPT entry       | Valid                 | 001A9140 | 00000020 | 69249B59 | ---- ELOG
 FPT entry       | Valid                 | 001A9160 | 00000020 | C19D9205 | ---- EFS
 FPT entry       | Valid                 | 001A9180 | 00000020 | 507E6499 | ---- FITC
 FPT entry       | Valid                 | 001A91A0 | 00000020 | 6C2C01DC | ---- CDMD
 Padding         | Empty (0x00)          | 001A91C0 | 00000240 | 43EC18F3 | --- Padding
 FPT partition   | Data                  | 001A9400 | 00000200 | BD7BC39F | --- PSVN
 FPT partition   | Data                  | 001A9600 | 00000018 | 01C6463A | --- RSTR
 Padding         | Empty (0xFF)          | 001A9618 | 00000028 | 8CD04C73 | --- Padding
 FPT partition   | Data                  | 001A9640 | 00000040 | 2BF6696B | --- IMDP
 Padding         | Non-empty             | 001A9680 | 00000980 | 57FFC922 | --- Padding
 FPT partition   | Data                  | 001AA000 | 00004000 | 690B37D3 | --- IVBP
 FPT partition   | Data                  | 001AE000 | 00064000 | 6F687BE7 | --- MFS
 FPT partition   | Data                  | 00212000 | 00002000 | B4293435 | --- UTOK
 FPT partition   | Data                  | 00214000 | 00002000 | B4293435 | --- FLOG
 FPT partition   | Data                  | 00216000 | 00001000 | 4179858D | --- ELOG
 FPT partition   | Data                  | 00217000 | 00010000 | E8941138 | --- EFS
 FPT partition   | Data                  | 00227000 | 00008000 | 6E299F1F | --- FITC
 FPT partition   | Data                  | 0022F000 | 00003000 | 1414C4D8 | --- CDMD
 FPT partition   | Data                  | 00232000 | 00002000 | 2521CB83 | --- UEP
 IFWI partition  | Boot                  | 00234000 | 001A7000 | 88E6A35B | -- Boot partition
 BPDT store      |                       | 00234000 | 00000084 | 89D1B5DF | --- BPDT partition table
 BPDT entry      |                       | 00234018 | 0000000C | E67CFCFE | ---- Debug Launch Module
 BPDT entry      |                       | 00234024 | 0000000C | 91E22E0E | ---- IFP Bypass
 BPDT entry      |                       | 00234030 | 0000000C | E376B17F | ---- Secondary BPDT
 BPDT entry      |                       | 0023403C | 0000000C | E0708A00 | ---- ROM Boot Extensions
 BPDT entry      |                       | 00234048 | 0000000C | 7EDF8BEE | ---- UFS PHY Config
 BPDT entry      |                       | 00234054 | 0000000C | E57AC781 | ---- UFS GPP LUN
 BPDT entry      |                       | 00234060 | 0000000C | 74CB10EC | ---- OEM Key Manifest
 BPDT entry      |                       | 0023406C | 0000000C | 906982D5 | ---- Main
 BPDT entry      |                       | 00234078 | 0000000C | 7DD9B091 | ---- ISH
 Padding         | Empty (0xFF)          | 00234084 | 00000F7C | CA039763 | --- Padding
 BPDT partition  |                       | 00235000 | 001A6000 | 784B8516 | --- Main | Main
 CPD store       |                       | 00235000 | 00000164 | 43687125 | ---- CPD partition table
 CPD entry       |                       | 00235014 | 00000018 | 0D289E1E | ----- NFTP.man
 CPD entry       |                       | 0023502C | 00000018 | 42FAE88B | ----- dal_ivm
 CPD entry       |                       | 00235044 | 00000018 | 2F229F05 | ----- dal_lnch
 CPD entry       |                       | 0023505C | 00000018 | EC7D3205 | ----- dal_sdm
 CPD entry       |                       | 00235074 | 00000018 | CA82ECA3 | ----- adspa
 CPD entry       |                       | 0023508C | 00000018 | 0C1BA5E8 | ----- iunitcse
 CPD entry       |                       | 002350A4 | 00000018 | 403FDF3C | ----- pavp
 CPD entry       |                       | 002350BC | 00000018 | E51155FD | ----- sigma
 CPD entry       |                       | 002350D4 | 00000018 | 2C78D3A9 | ----- hotham
 CPD entry       |                       | 002350EC | 00000018 | ACA456EE | ----- ish_srv
 CPD entry       |                       | 00235104 | 00000018 | A6492B30 | ----- mctp
 CPD entry       |                       | 0023511C | 00000018 | 628D4A7D | ----- icc
 CPD entry       |                       | 00235134 | 00000018 | C4FBD7E4 | ----- tls_iso
 CPD entry       |                       | 0023514C | 00000018 | 845B7CD3 | ----- vdm
 CPD partition   | Manifest              | 00235164 | 00000420 | 82CACB77 | ---- NFTP.man
 CPD extension   |                       | 00235164 | 00000034 | 205760B0 | ----- Signed Package Info
 CPD extension   |                       | 00235198 | 00000068 | 3E0D3EFB | ----- IFWI Partition Manifest
 Padding         | Empty (0xFF)          | 00235584 | 0000003C | F48CF14D | ---- Padding
 CPD partition   | Code                  | 002355C0 | 0004B840 | 98CC1B3F | ---- dal_ivm
 CPD partition   | Code                  | 00280E00 | 000026C0 | 6AD2B5CB | ---- dal_lnch
 CPD partition   | Code                  | 002834C0 | 00007700 | C8367604 | ---- dal_sdm
 CPD partition   | Code                  | 0028ABC0 | 000019C0 | A62B9EEE | ---- adspa
 CPD partition   | Code                  | 0028C580 | 00002D40 | 9B26549F | ---- iunitcse
 CPD partition   | Code                  | 0028F2C0 | 000200AA | 58DF0A58 | ---- pavp
 Padding         | Empty (0xFF)          | 002AF36A | 00000016 | A531925F | ---- Padding
 CPD partition   | Code                  | 002AF380 | 00006F40 | 21252E19 | ---- sigma
 CPD partition   | Code                  | 002B62C0 | 00005480 | F43ED0D5 | ---- hotham
 CPD partition   | Code                  | 002BB740 | 00003780 | EFA2E113 | ---- ish_srv
 CPD partition   | Code                  | 002BEEC0 | 00006880 | 66B1312E | ---- mctp
 CPD partition   | Code                  | 002C5740 | 00003F80 | A8A8BF93 | ---- icc
 CPD partition   | Code                  | 002C96C0 | 00026A40 | 31B777F1 | ---- tls_iso
 CPD partition   | Code                  | 002F0100 | 00002000 | DE6D0239 | ---- vdm
 Padding         | Empty (0xFF)          | 002F2100 | 000E8F00 | E185C930 | ---- Padding
